1,優勝戦は、意外に（　　　）勝負が決まった。,,,,
,1)あっけなく,2)そっけなく,3)はかなく,4)ものたりなく,1
,,,,,
2,この年は、周辺から人が集まりすぎて（　　　）状態だ。,,,,
,1)過密,2)窮屈,3)不潔,4)不服,1
,,,,,
3,病気が悪化し、（　　　）ものも食べられなくなった。,,,,
,1)まして,2)せめて,3)やけに,4)ろくに,4
,,,,,
4,聞き手の（　　　）がないと、スピーチをしていて話しづらい。,,,,
,1)応答,2)返答,3)対応,4)反応,4
,,,,,
5,駅前の再開発工事は、順調にいけば来年の１０月に完了する（　　　）だ。,,,,
,1)見合い,2)見込み,3)見積もり,4)見晴らし,2
,,,,,
6,仕事はできるだけ早めに始めるように（　　　）いる。,,,,
,1)いどんで,2)とりくんで,3)こころがけて,4)はかどって,3
,,,,,
7,田中さんは目上の人にはていねいだが、下の人にはとても（　　　）なる。,,,,
,1)おろかに,2)おろそかに,3)ぞんざいに,4)つきなみに,3
,,,,,
8,「近代」という（　　　）を、わかりやすく正確に説明するのは難しい。,,,,
,1)意識,2)概念,3)文脈,4)様相,2
,,,,,
9,山田さんは頼りにならないと思っていたが、今度の活躍を見てその考えを（　　　）。,,,,
,1)おさめた,2)あらためた,3)うちきった,4)おいだした,2
,,,,,
10,このアンケートに協力するかしないかは自由で、（　　　）はしないということにしたい。,,,,
,1)圧迫,2)強制,3)催促,4)一致,2
,,,,,
11,病院は日曜と祝日は休みだが、（　　　）の場合は診てもらえる。,,,,
,1)異常,2)緊急,3)多忙,4)不意,2
,,,,,
12,このいすは（　　　）はいいが、すわり心地が悪い。,,,,
,1)モデル,2)ジャンル,3)デザイン,4)デッサン,3
,,,,,
13,選挙の投票は権利でもあるが義務でもある。かんたんに（　　　）してはいけない。,,,,
,1)棄権,2)欠席,3)廃棄,4)放置,1
,,,,,
14,アルバイトの条件は、会社と（　　　）して決めることになっている。,,,,
,1)会見,2)交渉,3)対話,4)譲歩,2
,,,,,
15,彼は（　　　）から、多少困難な状況にあってもやっていける。,,,,
,1)いやらしい,2)このましい,3)たくましい,4)なれなれしい,3
,,,,,
16,通信手段の発達のおかげで、（　　　　）にいながら世界各地の様子を知ることができる。,,,,
,1)床の間,2)茶の間,3)客間,4)すき間,2
,,,,,
17,あなたに（　　　　）もらったお金、返さなくちゃ。いくらだったっけ。,,,,
,1)もちかえて,2)つめかえて,3)ふりかえて,4)たてかえて,4
,,,,,
18,失敗を重ねても、いっこうに気にする様子はない。あいつは実に（　　　　）男だ。,,,,
,1)くすぐったい,2)すばしこい,3)あっけない,4)しぶとい,4
,,,,,
19,彼女は何事にも（　　　　）取り組むタイプで、仕事はおそいが確実だ。,,,,
,1)じっくり,2)くっきり,3)てっきり,4)めっきり,1
,,,,,
20,彼と彼女は、高校の先輩と後輩という（　　　　）だそうです。,,,,
,1)つながり,2)なかま,3)あいだがら,4)どうし,3
,,,,,
21,あんなに部下を（　　　　）ばかりいないで、たまにはほめてもいいのに。,,,,
,1)こなして,2)けなして,3)せかして,4)くつがえして,2
,,,,,
22,彼がそこへ行ったという事実は（　　　　）で、疑うべくもない。,,,,
,1)明朗,2)明瞭,3)明白,4)明確,3
,,,,,
23,情報は、（　　　　）別にファイルを作って整理している。,,,,
,1)ジャンプ,2)ジャンパー,3)ジャンボ,4)ジャンル,4
,,,,,
24,彼は（　　　）から、多少困難な状況にあってもやっていける。,,,,
,1)いやらしい,2)このましい,3)たくましい,4)なれなれしい,3
,,,,,
25,優勝戦は、意外に（　　　）勝負が決まった。,,,,
,1)あっけなく,2)そっけなく,3)はかなく,4)ものたりなく,1
,,,,,
26,この都市は、周辺から人が集まりすぎて（　　　）状態だ。,,,,
,1)過密,2)窮屈,3)不潔,4)不服,1
,,,,,
27,病気が悪化し、（　　　）ものも食べられなくなった。,,,,
,1)まして,2)せめて,3)やけに,4)ろくに,4
,,,,,
28,聞き手の（　　　）がないと、、スピーチをしていて話づらい。,,,,
,1)応答,2)返答,3)対応,4)反応,4
,,,,,
29,駅前の再開発工事は、順調にいけば来年の１０月に完了する（　　　）だ。,,,,
,1)見合い,2)見込み,3)見積もり,4)見晴らし,2
,,,,,
30,仕事はできるだけ早めに始めるように（　　　）いる。,,,,
